,address,Total,First Ticket Date,Last Ticket Date,Days,Daily Avg,Lat,Lng,zipcode,Traffic Loc Found,Radius,Traffic Address,Date_count,Total Volume,Vol by Direction,Ticket per 1000 AADT
24,1142 W IRVING PARK,122147,3/1/2014,4/27/2018,1519,80.41277156,41.9546686,-87.6580804,60613.0,1.0,500.0,1140 West Irving Park Rd,2006-08-31T07:00:00.000Z,26200.0,East Bound: 14100 / West Bound: 12100,6.138379508396946
25,115 N OGDEN,63417,3/10/2014,4/27/2018,1510,41.99801325,41.8832433,-87.6642048,60607.0,6.0,500.0,1600 West Ogden Ave,2006-10-12T07:00:00.000Z,19900.0,North Bound: 9500 / South Bound: 10400,4.220905854271356
26,11500 S HALSTED STREE,13617,3/1/2014,10/26/2017,1336,10.19236527,41.6847759,-87.6426073,60628.0,2.0,500.0,11600 South Halsted St,2006-08-31T07:00:00.000Z,30300.0,North Bound: 16100 / South Bound: 14200,0.6727633841584159
27,11900 S HALSTED,7482,3/1/2014,4/27/2018,1519,4.925608953,41.6778022,-87.64196539999998,60628.0,3.0,1000.0,11600 South Halsted St,2006-08-31T07:00:00.000Z,30300.0,North Bound: 16100 / South Bound: 14200,0.3251227031683168
28,1200 N ASHLAND AVENUE,8833,3/1/2014,4/27/2018,1519,5.815009875,41.9035648,-87.66790069999998,60622.0,4.0,500.0,1345 North Ashland Ave,2006-08-31T07:00:00.000Z,35000.0,North Bound: 18200 / South Bound: 16800,0.3322862785714286
29,1200 N HALSTED,10589,3/2/2014,4/27/2018,1518,6.975625823,41.904475,-87.64726499999998,60642.0,7.0,1000.0,840 North Halsted St,2006-09-18T07:00:00.000Z,23100.0,North Bound: 11200 / South Bound: 11900,0.6039502877056276
30,1200 N PULASKI ROAD,6697,3/2/2014,4/27/2018,1518,4.411725955,41.90268629999999,-87.7262915,60651.0,10.0,1000.0,1445 North Pulaski Rd,2006-10-04T07:00:00.000Z,19600.0,North Bound: 10000 / South Bound: 9600,0.45017611785714284
31,1200 S CANAL STREET,7850,3/1/2014,4/27/2018,1519,5.167873601,41.86719779999999,-87.6392226,60607.0,19.0,1000.0,460 South Canal St,2006-10-02T07:00:00.000Z,15600.0,North Bound: 10400 / South Bound: 5200,0.6625478975641026
32,1200 S KOSTNER,5060,3/1/2014,4/27/2018,1519,3.331138907,41.866038200000006,-87.7349632,60623.0,6.0,1000.0,1531 South Kostner Ave,2006-09-14T07:00:00.000Z,19500.0,North Bound: 8800 / South Bound: 10700,0.3416552725128205
33,1200 S PULASKI ROAD,4698,3/1/2014,4/27/2018,1519,3.0928242260000003,41.8661652,-87.7251651,60623.0,4.0,1000.0,1539 South Pulaski Rd,2006-09-12T07:00:00.000Z,21700.0,North Bound: 11600 / South Bound: 10100,0.2850529240552996
34,1200 W DEVON AVE,4141,3/1/2014,4/27/2018,1519,2.726135616,41.9982019,-87.6605947,60660.0,42.0,4000.0,2307 West Devon Ave,2006-08-30T07:00:00.000Z,22200.0,East Bound: 10200 / West Bound: 12000,0.24559780324324326
35,1200 W FOSTER AVE,3063,3/1/2014,4/27/2018,1519,2.016458196,41.976321999999996,-87.6599485,60640.0,3.0,500.0,1059 West Foster Ave,2006-08-24T07:00:00.000Z,24200.0,East Bound: 10400 / West Bound: 13800,0.16664943768595042
36,1226 N WESTERN AVE,12647,4/9/2014,4/27/2018,1480,8.54527027,41.9038917,-87.68743669999998,60622.0,3.0,500.0,1023 North Western Ave,2006-10-11T07:00:00.000Z,36600.0,North Bound: 18700 / South Bound: 17900,0.46695465956284155
37,1229 N WESTERN AVE,25744,4/9/2014,4/27/2018,1480,17.39459459,41.9036445,-87.686614,60622.0,2.0,500.0,1023 North Western Ave,2006-10-11T07:00:00.000Z,36600.0,North Bound: 18700 / South Bound: 17900,0.9505242945355191
38,1300 W IRVING PARK ROAD,6587,3/5/2014,4/27/2018,1515,4.347854785,41.9545689,-87.662741,60613.0,2.0,500.0,1140 West Irving Park Rd,2006-08-31T07:00:00.000Z,26200.0,East Bound: 14100 / West Bound: 12100,0.3318973118320611
39,1315 W GARFIELD BLVD,60904,5/7/2014,4/27/2018,1452,41.94490358,41.793538899999994,-87.6580036,60636.0,28.0,2000.0,2230 West Garfield Blvd,2006-03-15T08:00:00.000Z,28800.0,East Bound: 14300 / West Bound: 14500,2.912840526388889
40,1334 W GARFIELD BLVD,71099,5/7/2014,4/27/2018,1452,48.96625344,41.7943113,-87.65986459999998,60609.0,28.0,2000.0,2230 West Garfield Blvd,2006-03-15T08:00:00.000Z,28800.0,East Bound: 14300 / West Bound: 14500,3.400434266666667
41,14 W CHICAGO AVE,1356,9/2/2014,4/27/2018,1334,1.016491754,41.8969209,-87.62908440000001,60654.0,11.0,500.0,161 East Chicago Ave,2006-10-03T07:00:00.000Z,18100.0,East Bound: 9700 / West Bound: 8400,0.11231953082872928
42,140 N ASHLAND,19005,3/23/2014,4/27/2018,1497,12.69539078,41.8846727,-87.66733049999998,60607.0,22.0,1000.0,133 South Ashland Ave,2006-08-31T07:00:00.000Z,31700.0,North Bound: 16800 / South Bound: 14900,0.8009710271293375
43,140 W KINZIE,2280,3/4/2014,4/27/2018,1516,1.503957784,41.8893526,-87.6327878,60654.0,,,,,,,
44,141 N ASHLAND,11194,3/23/2014,4/14/2018,1484,7.543126685,41.884072100000004,-87.66679789999998,60607.0,21.0,1000.0,133 South Ashland Ave,2006-08-31T07:00:00.000Z,31700.0,North Bound: 16800 / South Bound: 14900,0.47590704637223974
45,1440 W CERMAK RD,23779,10/16/2014,4/27/2018,1290,18.43333333,41.8527502,-87.6628147,60608.0,3.0,500.0,1248 West Cermak Rd,2006-04-25T07:00:00.000Z,17300.0,East Bound: 9000 / West Bound: 8300,2.1310211942196533
46,150 N SACRAMENTO BOUL,13488,3/1/2014,4/27/2018,1519,8.879526004,41.883818299999994,-87.7014741,60612.0,4.0,500.0,270 North Sacramento Ave,2006-10-09T07:00:00.000Z,20500.0,North Bound: 10500 / South Bound: 10000,0.8662952199024391
47,1507 W 83rd ST,7875,11/24/2014,4/27/2018,1251,6.294964029,41.743094799999994,-87.66138219999998,60620.0,4.0,500.0,1715 West 83rd Street,2006-03-23T08:00:00.000Z,12100.0,East Bound: 6100 / West Bound: 6000,1.0404899221487602
48,1600 E 79TH ST,3356,3/1/2014,4/27/2018,1519,2.209348255,41.751701000000004,-87.58519,60649.0,24.0,2000.0,850 East 79th St,2006-03-28T08:00:00.000Z,16300.0,East Bound: 7300 / West Bound: 9000,0.2710856754601227
49,1600 E 83RD STREET,1224,3/1/2014,3/5/2015,370,3.3081081080000003,41.7441969,-87.5853515,60617.0,7.0,1000.0,1165 East 83rd Street,2006-03-28T08:00:00.000Z,9000.0,East Bound: 5300 / West Bound: 3700,0.7351351351111112
50,1600 E 95TH STREET,13841,3/22/2014,5/30/2017,1166,11.87049743,41.7223518,-87.5849123,60617.0,7.0,1000.0,1916 East 95th St,2006-09-06T07:00:00.000Z,36100.0,East Bound: 17600 / West Bound: 18500,0.6576452869806094
51,1600 N HALSTED STREET,5465,3/1/2014,4/27/2018,1519,3.597761685,41.911144,-87.64860499999998,60614.0,7.0,1000.0,2034 North Halsted St,2006-10-16T07:00:00.000Z,18700.0,North Bound: 10200 / South Bound: 8500,0.3847873459893048
52,1600 N HOMAN AVENUE,2088,3/1/2014,4/27/2018,1519,1.374588545,41.9101058,-87.711861,60647.0,10.0,1000.0,1240 North Homan Ave,2006-09-27T07:00:00.000Z,8900.0,North Bound: 4300 / South Bound: 4600,0.308896302247191
53,1600 N KOSTNER,1314,4/1/2014,4/27/2018,1488,0.8830645159999999,41.9098165,-87.736238,60639.0,3.0,500.0,1533 North Kostner Ave,2006-09-06T07:00:00.000Z,10600.0,North Bound: 5400 / South Bound: 5200,0.16661594641509433
54,1600 N PULASKI AVENUE,1783,3/2/2014,4/27/2018,1518,1.174571805,41.9099336,-87.72631949999999,60639.0,3.0,500.0,1445 North Pulaski Rd,2006-10-04T07:00:00.000Z,19600.0,North Bound: 10000 / South Bound: 9600,0.11985426581632654
55,1600 N WESTERN AVE,6576,3/1/2014,4/27/2018,1519,4.329163924,41.910570799999995,-87.6875967,60647.0,2.0,500.0,1526 North Western Ave,2006-10-02T07:00:00.000Z,39400.0,North Bound: 19600 / South Bound: 19800,0.21975451390862943
56,1600 W 63RD STREET,579,3/1/2014,3/5/2015,370,1.564864865,41.7796491,-87.66456749999998,60636.0,4.0,500.0,1445 West 63rd Street,2006-03-28T08:00:00.000Z,10800.0,East Bound: 5600 / West Bound: 5200,0.28978978981481485
57,1600 W 71ST,5058,3/1/2014,4/27/2018,1519,3.3298222510000004,41.7649048,-87.6638595,60636.0,2.0,500.0,1708 West 71st Street,2006-03-09T08:00:00.000Z,14600.0,East Bound: 6900 / West Bound: 7700,0.4561400343835617
58,1600 W 87TH ST,7314,3/1/2014,4/27/2018,1519,4.815009875,41.7358365,-87.6631652,60620.0,3.0,500.0,1428 West 87th Street,2006-03-28T08:00:00.000Z,31600.0,East Bound: 16000 / West Bound: 15600,0.30474746044303797
59,1600 W 95TH STREET,6109,3/1/2014,4/27/2018,1519,4.021724819,41.721362899999995,-87.6624896,60643.0,2.0,500.0,1500 West 95th St,2006-08-24T07:00:00.000Z,34300.0,East Bound: 16200 / West Bound: 18100,0.2345029048979592
60,1600 W CORTLAND ST,6012,3/3/2014,4/27/2018,1517,3.963085036,41.91611100000001,-87.66789759999999,60622.0,,,,,,,
61,1600 W DIVERSEY PARKWA,1229,3/1/2014,3/5/2015,370,3.321621622,41.93240120000001,-87.6684698,60614.0,4.0,500.0,1425 West Diversey Ave,2006-08-10T07:00:00.000Z,21700.0,East Bound: 10400 / West Bound: 11300,0.3061402416589862
62,1600 W DIVISION STREET,3388,3/1/2014,4/27/2018,1519,2.230414747,41.90343529999999,-87.667766,60622.0,14.0,1000.0,2029 West Division St,2006-10-18T07:00:00.000Z,23700.0,East Bound: 12100 / West Bound: 11600,0.1882206537552743
63,1600 W GARFIELD BLVD,1542,3/1/2014,3/4/2015,369,4.178861789,41.794292999999996,-87.66495499999998,60609.0,9.0,1000.0,1848 West Garfield Blvd,2006-03-15T08:00:00.000Z,33200.0,East Bound: 16000 / West Bound: 17200,0.2517386619879518
64,1600 W IRVING PARK ROA,2883,3/6/2014,4/27/2018,1514,1.904227213,41.954536499999996,-87.66948409999998,60613.0,3.0,500.0,1625 West Irving Park Rd,2006-08-29T07:00:00.000Z,33000.0,East Bound: 16900 / West Bound: 16100,0.11540770987878787
65,1600 W LAWRENCE AVENUE,5426,3/17/2014,4/27/2018,1503,3.610113107,41.96887299999999,-87.6695026,60640.0,1.0,500.0,1350 West Lawrence Ave,2006-11-07T08:00:00.000Z,20700.0,East Bound: 10300 / West Bound: 10400,0.3488031987439614
66,1600 W MADISON,5014,3/1/2014,4/27/2018,1519,3.3008558260000003,41.881702000000004,-87.66717,60612.0,7.0,500.0,1420 West Madison St,2006-10-12T07:00:00.000Z,12400.0,East Bound: 5300 / West Bound: 7100,0.5323961009677419
67,1635 N ASHLAND AVE,17813,4/21/2014,4/27/2018,1468,12.13419619,41.91163239999999,-87.66742029999997,60622.0,2.0,500.0,1629 North Ashland Ave,2006-08-31T07:00:00.000Z,30700.0,North Bound: 14100 / South Bound: 16600,0.7905013804560261
68,1638 N ASHLAND AVE,7452,4/21/2014,4/27/2018,1468,5.076294278,41.911426299999995,-87.6679639,60622.0,2.0,500.0,1629 North Ashland Ave,2006-08-31T07:00:00.000Z,30700.0,North Bound: 14100 / South Bound: 16600,0.3307032102931596
69,1754 N PULASKI RD,6589,12/23/2015,4/27/2018,857,7.688448075,41.913182,-87.7267954,60639.0,1.0,500.0,1640 North Pulaski Rd,2006-11-01T08:00:00.000Z,19300.0,North Bound: 10700 / South Bound: 8600,0.7967303704663213
70,18 W SUPERIOR ST,241,5/12/2014,4/12/2018,1432,0.16829608899999998,41.895983,-87.62900599999998,60654.0,,,,,,,
71,19 W CHICAGO AVE,1933,9/2/2014,4/27/2018,1334,1.449025487,41.896361999999996,-87.6290609,60654.0,13.0,500.0,161 East Chicago Ave,2006-10-03T07:00:00.000Z,18100.0,East Bound: 9700 / West Bound: 8400,0.160113313480663
72,1900 N ASHLAND AVE,25669,3/1/2014,4/27/2018,1519,16.89861751,41.917348499999996,-87.6677316,60642.0,9.0,1000.0,2435 North Ashland Ave,2006-08-29T07:00:00.000Z,40200.0,North Bound: 19800 / South Bound: 20400,0.8407272393034826
73,1901 E 75TH ST,28995,6/15/2014,4/27/2018,1413,20.52016985,41.758596000000004,-87.57869040000001,60649.0,3.0,500.0,1744 East 75th St,2006-03-28T08:00:00.000Z,13100.0,East Bound: 6300 / West Bound: 6800,3.132850358778626
74,200 N UPPER WACKER DR,958,3/5/2018,4/27/2018,54,17.74074074,41.8856486,-87.6373287,60606.0,174.0,2000.0,111 East Wacker(upper) Dr,2006-11-07T08:00:00.000Z,15200.0,East Bound: 8500 / West Bound: 6700,2.334307992105263
75,200 W GARFIELD BLVD,15757,3/7/2014,4/27/2018,1513,10.41440846,41.79472519999999,-87.6319041,60609.0,2.0,500.0,315 West Garfield Blvd,2006-10-19T07:00:00.000Z,36700.0,East Bound: 19500 / West Bound: 17200,0.5675426953678475
76,2000 E 79TH STREET,625,3/1/2014,3/5/2015,370,1.689189189,41.7519006,-87.5756849,60649.0,29.0,2000.0,2856 East 79th St,2006-10-18T07:00:00.000Z,8600.0,East Bound: 3800 / West Bound: 4800,0.39283469511627905
77,2000 E 95TH ST,1885,3/3/2014,4/27/2018,1517,1.242584047,41.723079999999996,-87.5757689,60617.0,5.0,500.0,1916 East 95th St,2006-09-06T07:00:00.000Z,36100.0,East Bound: 17600 / West Bound: 18500,0.06884122144044322
78,2000 N CICERO AVENUE,3537,3/2/2014,4/27/2018,1518,2.330039526,41.916935200000005,-87.7461694,60639.0,3.0,500.0,2125 North Cicero Ave,2006-10-16T07:00:00.000Z,39900.0,North Bound: 18800 / South Bound: 21100,0.11679396120300753
79,2000 N KEDZIE AVENUE,7231,3/3/2014,4/27/2018,1517,4.766644693,41.917395899999995,-87.7070366,60647.0,14.0,1000.0,2427 North Kedzie Ave,2006-10-09T07:00:00.000Z,17400.0,North Bound: 8500 / South Bound: 8900,0.5478901945977012
80,2000 N WESTERN AVENUE,840,3/1/2014,3/5/2015,370,2.27027027,41.9177584,-87.6877683,60647.0,5.0,500.0,1768 North Western Ave,2006-09-28T07:00:00.000Z,40000.0,North Bound: 20100 / South Bound: 19900,0.11351351350000001
81,2000 W DIVERSEY PARKWAY,4768,3/8/2014,4/27/2018,1512,3.1534391530000003,41.932559999999995,-87.67905340000002,60614.0,6.0,1000.0,1614 West Diversey Ave,2006-08-10T07:00:00.000Z,22400.0,East Bound: 11200 / West Bound: 11200,0.2815570672321429
82,2000 W DIVISION,16547,3/1/2014,4/27/2018,1519,10.89335089,41.9034133,-87.6774693,60622.0,2.0,500.0,2029 West Division St,2006-10-18T07:00:00.000Z,23700.0,East Bound: 12100 / West Bound: 11600,0.9192701172995781
83,2000 W FULLERTON AVE,9624,3/1/2014,4/24/2018,1516,6.34828496,41.925172100000005,-87.67793890000002,60647.0,31.0,2000.0,1434 West Fullerton Ave,2006-08-16T07:00:00.000Z,24400.0,East Bound: 12100 / West Bound: 12300,0.5203512262295081
84,2080 W PERSHING,19432,3/1/2014,4/27/2018,1519,12.79262673,41.82307249999999,-87.67634629999998,60609.0,29.0,2000.0,1450 West Pershing Rd,2006-10-11T07:00:00.000Z,23300.0,East Bound: 11200 / West Bound: 12100,1.0980795476394851
85,2108 S WESTERN AVE,3537,6/9/2014,4/27/2018,1419,2.4926004230000003,41.85352899999999,-87.68606,60608.0,2.0,500.0,1837 South Western Ave,2006-08-22T07:00:00.000Z,41500.0,North Bound: 22400 / South Bound: 19100,0.12012532159036146
86,2109 E 87TH ST,16041,11/3/2014,4/27/2018,1272,12.61084906,41.7368683,-87.5728172,60617.0,5.0,500.0,2014 East 87th St,2006-09-06T07:00:00.000Z,15300.0,East Bound: 7100 / West Bound: 8200,1.6484770013071897
87,2115 S WESTERN AVE,5994,6/9/2014,4/27/2018,1419,4.22410148,41.853383,-87.68531899999998,60608.0,3.0,500.0,1837 South Western Ave,2006-08-22T07:00:00.000Z,41500.0,North Bound: 22400 / South Bound: 19100,0.2035711556626506
88,215 E 63RD ST,44216,11/10/2014,4/27/2018,1265,34.95335968,41.7801415,-87.61936720000001,60637.0,4.0,500.0,253 East 63rd St,2006-09-20T07:00:00.000Z,17900.0,East Bound: 9400 / West Bound: 8500,3.905403316201117
89,2200 S PULASKI,5372,3/1/2014,4/27/2018,1519,3.5365371960000003,41.8512639,-87.7248798,60623.0,3.0,500.0,2119 South Pulaski Rd,2006-09-12T07:00:00.000Z,20200.0,North Bound: 10600 / South Bound: 9600,0.35015219762376243
90,2200 S WESTERN AVENUE,6727,3/1/2014,4/27/2018,1519,4.428571429,41.85149759999999,-87.68699079999998,60608.0,12.0,1000.0,1837 South Western Ave,2006-08-22T07:00:00.000Z,41500.0,North Bound: 22400 / South Bound: 19100,0.21342512910843373
91,2326 W CERMAK RD,1019,4/21/2014,4/27/2018,1468,0.6941416890000001,41.852321,-87.684365,60608.0,2.0,500.0,2235 West Cermak Rd,2006-03-30T08:00:00.000Z,13700.0,East Bound: 7500 / West Bound: 6200,0.10133455313868614
92,2329 W DIVISION ST,6297,4/9/2014,4/27/2018,1480,4.25472973,41.9027003,-87.68628530000002,60622.0,8.0,1000.0,2029 West Division St,2006-10-18T07:00:00.000Z,23700.0,East Bound: 12100 / West Bound: 11600,0.3590489223628692
93,2335 W CERMAK RD,2260,4/21/2014,4/27/2018,1468,1.5395095369999998,41.851787,-87.684759,60608.0,1.0,500.0,2235 West Cermak Rd,2006-03-30T08:00:00.000Z,13700.0,East Bound: 7500 / West Bound: 6200,0.22474591781021896
94,2348 S KOSTNER AVENUE,6272,3/1/2014,4/27/2018,1519,4.1290322580000005,41.848177,-87.734724,60623.0,9.0,1000.0,2004 South Kostner Ave,2006-09-12T07:00:00.000Z,19200.0,North Bound: 10000 / South Bound: 9200,0.43010752687500003
95,2400 N ASHLAND AVENUE,24267,3/1/2014,4/27/2018,1519,15.97564187,41.9253097,-87.6684047,60614.0,3.0,500.0,2435 North Ashland Ave,2006-08-29T07:00:00.000Z,40200.0,North Bound: 19800 / South Bound: 20400,0.7948080532338309
96,2400 N CENTRAL AVENUE,1228,3/1/2014,4/27/2018,1519,0.8084265959999999,41.9241783,-87.765999,60639.0,3.0,500.0,2366 North Central Ave,2006-10-26T07:00:00.000Z,20000.0,North Bound: 9500 / South Bound: 10500,0.08084265959999999
97,2400 N CICERO AVE,4505,3/7/2014,4/27/2018,1513,2.97752809,41.9242812,-87.74635759999998,60639.0,7.0,1000.0,2125 North Cicero Ave,2006-10-16T07:00:00.000Z,39900.0,North Bound: 18800 / South Bound: 21100,0.149249528320802
98,2400 N CLARK ST,4421,3/1/2014,4/27/2018,1519,2.910467413,41.926054,-87.6412215,60614.0,106.0,4000.0,3733 North Clark St,2006-07-26T07:00:00.000Z,12600.0,North Bound: 6000 / South Bound: 6600,0.4619789544444445
99,2400 N DAMEN AVE,437,3/1/2014,5/27/2015,453,0.964679912,41.9250338,-87.6778891,60647.0,6.0,1000.0,2123 North Damen Ave,2006-10-26T07:00:00.000Z,22100.0,North Bound: 12400 / South Bound: 9700,0.08730134950226244
100,2400 N HALSTED STREET,3295,3/12/2014,4/26/2018,1507,2.186463172,41.9253221,-87.64889110000001,60614.0,10.0,1000.0,2034 North Halsted St,2006-10-16T07:00:00.000Z,18700.0,North Bound: 10200 / South Bound: 8500,0.23384632855614973
101,2400 N LARAMIE AVENUE,1048,3/6/2014,4/26/2018,1513,0.692663582,41.9255424,-87.7562643,60639.0,2.0,500.0,2426 North Laramie Ave,2006-10-23T07:00:00.000Z,15900.0,North Bound: 8000 / South Bound: 7900,0.08712749459119497
102,2400 N PULASKI RD,1586,3/1/2014,4/27/2018,1519,1.044107966,41.9245481,-87.7267583,60639.0,2.0,500.0,2415 North Pulaski Rd,2006-10-05T07:00:00.000Z,25000.0,North Bound: 13700 / South Bound: 11300,0.08352863728000001
103,2400 N WESTERN AVENUE,14461,3/1/2014,4/27/2018,1519,9.520078998999999,41.9252406,-87.6878816,60647.0,1.0,500.0,2160 North Western Ave,2006-08-31T07:00:00.000Z,39200.0,North Bound: 19900 / South Bound: 19300,0.48571831627551015
104,2400 W 51ST ST,254,3/1/2014,3/5/2015,370,0.686486486,41.8011479,-87.68421409999998,60609.0,2.0,500.0,2531 West 51st St,2007-01-09T08:00:00.000Z,20200.0,East Bound: 10300 / West Bound: 9900,0.06796895900990099
105,2400 W 55TH STREET,7314,3/1/2014,4/27/2018,1519,4.815009875,41.793912899999995,-87.68412020000001,60609.0,26.0,2000.0,1440 West 55th St,2006-10-11T07:00:00.000Z,35200.0,East Bound: 18500 / West Bound: 16700,0.2735801065340909
106,2400 W 63RD ST,1833,3/1/2014,4/27/2018,1519,1.206714944,41.7794,-87.6839023,60629.0,2.0,500.0,2600 West 63rd St,2006-08-15T07:00:00.000Z,19100.0,East Bound: 9800 / West Bound: 9300,0.12635758575916228
107,2400 W 71ST STREET,1192,3/3/2014,5/31/2017,1186,1.005059022,41.76468920000001,-87.6833053,60629.0,2.0,500.0,2523 West 71st Street,2006-02-28T08:00:00.000Z,14600.0,East Bound: 7800 / West Bound: 6800,0.13767931808219178
